; Amazonas;Ancash;Apurimac; Arequipa;Ayacucho;Cajamarca; Callao;Cusco;Huancavelica;Huánuco; Ica; Junín; La Libertad; Lambayeque;Lima; Loreto; Madre de Dios; Moquegua; Pasco;Piura; Puno;San Martín; Tacna ; Tumbes; Ucayali; No registrado; Total
Mar-19;0.17665269;393.6183209;1.55287529;460.4811975;40.49116228;138.4818833;403.6875247;179.0051885;1.77610621;0.58715714;281.260178;81.66117711;165.8414575;41.68616198;926.6397332;1.86322436;1.54989708;154.8457249;10.64818534;274.9681927;69.39083953;9.14972443;11.93250472;14.09391303;1.54320695;84.92658689;3751.858776
Abr-19;0.78931278;359.5778575;97.68829388;436.8958024;25.7647979;120.9359933;459.5934969;145.3903422;1.06061445;2.36103711;262.8858088;43.87366379;176.1510013;48.95389841;905.2199163;1.60087517;3.61035135;265.6025093;16.23192217;228.4817154;60.44644884;4.22395806;15.56991342;16.36123852;1.65894097;79.88287004;3780.81258
May-19;0.83173064;334.9064288;263.7067851;323.380867;20.25175009;116.3987679;344.9971594;98.00679899;0.97666153;3.48903907;249.0758481;73.49252441;178.9785241;56.35546036;1052.470308;1.76368602;3.71730965;171.4005967;8.28364124;187.148881;68.5238619;6.44396558;11.8331935;12.1345067;1.21534267;109.9770977;3699.760736
Jun-19;2.55678318;292.0768328;205.5546423;401.9648028;31.44967397;128.2536561;529.3216542;244.6240027;1.08790402;1.24605003;277.4209135;65.9049859;245.3905297;45.5823761;983.4923621;1.55718056;4.67684659;163.2073386;15.61716855;218.4414454;71.34078284;11.2015285;18.44299025;13.85603866;2.48090233;118.1108904;4094.860282
Jul-19;3.83305771;307.0110566;157.5734605;328.7523286;21.17699459;174.0126291;443.2261606;141.3851946;1.95697266;0.74345775;344.9901549;62.25264489;273.4426135;38.65649587;1128.620529;2.00866044;4.71721194;271.1535028;15.8678884;238.782034;29.71466669;9.35459911;24.31420608;11.38432695;3.19377055;176.5839327;4214.70855
Ago-19;3.57389898;310.1200003;170.8054642;277.5387013;25.75023604;142.6593826;371.6301334;104.8012955;1.25209255;0.43831853;329.6547162;73.19258158;229.2721119;34.45885488;1097.122716;1.52576971;4.9213005;219.3193929;15.26407793;187.9293434;78.3435456;10.03995101;25.15335903;6.65044008;1.6706732;205.6646302;3928.752987
Set-19;4.78933284;283.4034478;165.2585639;376.9276938;22.54569142;157.8973424;360.621613;133.0817689;2.36257317;0.1858528;276.0468493;54.29853813;272.7920583;65.901496;987.6196271;1.96491394;4.62544614;216.9523695;9.93517076;255.8510849;100.7564528;8.6835889;39.88555666;5.43565531;2.04677081;183.8815574;3993.751016
Oct-19;4.6162054;344.2822248;72.74988315;410.0764936;27.52589039;146.3340782;281.4503858;99.23487045;3.20402619;0.67358525;295.3392192;114.5840902;311.3078402;79.12259515;1104.000298;13.22483399;3.26751224;250.7180219;62.01746555;268.8075224;106.4076883;10.22808608;30.3744984;5.8286226;2.05785967;110.9127964;4158.346594
Nov-19;3.59027962;252.0577576;121.5354004;450.532477;19.12377389;128.3572393;200.4841344;202.8373797;2.55660781;11.65268631;304.0973036;71.32777453;275.3271095;85.30398069;1040.150875;45.13474828;4.10776759;167.6169274;23.18826046;308.0748452;143.7351186;12.55323827;26.2614841;4.25452367;2.871818;120.0447019;4026.778213
Dic-19;5.33281886;417.2967674;417.3992145;386.707803;5.93448366;150.8389873;169.7873921;192.7510784;1.51550284;4.21814652;410.0036443;92.78184253;294.2910373;83.77210826;1147.834264;56.02650605;5.36906295;356.955673;20.62319813;345.2777274;98.72934329;12.32246831;28.3059978;6.87281171;1.82956498;157.2188753;4869.99632
Ene-20;0.94304752;311.0849783;226.3808767;321.0821743;50.31860672;121.8653631;180.3917491;139.2203611;3.20304313;1.65485727;461.2936898;81.91959178;274.9527922;41.13760526;859.6574996;1.02703338;4.4009725;116.9238584;66.33467724;306.0576398;116.5488155;12.50003756;18.79789087;8.5238087;2.24401463;168.8752646;3897.340249
Feb-20;0.45359779;300.7420877;133.5686721;301.39165;62.60641886;113.6089537;175.5169961;138.5563011;2.65676121;0.56255206;367.0769128;84.97724035;181.1566753;37.54283787;828.5630004;1.62820254;5.94142652;245.3723969;37.23860978;214.7521559;131.7116884;17.7813501;18.830641;6.62205703;3.63795902;140.8688736;3553.366018
Mar-20;0.42307901;300.0396306;143.5552831;244.2688943;94.35857944;76.0972077;124.9563572;141.9752373;2.92883916;0.69577587;230.1791743;83.35486808;150.1827011;40.20900131;748.2489168;19.57655898;2.98542715;83.2416141;14.89447167;153.1984349;59.42921395;8.34956474;25.84989233;4.12906544;1.82846966;91.95358513;2846.909843
Abr-20;0.70511742;182.5423949;2.30714621;134.0766593;35.91634931;86.77111664;88.18419819;4.618475;1.28897479;0.25234652;144.4675386;76.78068753;179.2595986;39.03073835;491.4820921;0.43837166;2.77632414;212.8874887;7.58411733;109.2788399;25.86716038;5.79515248;29.25231646;2.49778369;0.37102422;1;1865.432012
May-20;1.30471507;45.02755337;95.67712655;237.8304521;12.11099902;68.17142481;71.38057844;56.36102477;3.99768449;0.50290289;135.5428899;99.84092816;161.6932064;58.89360553;500.5063221;0.6247074;3.88193241;179.714943;34.20215698;102.4563452;70.25608722;7.11194541;43.23815599;5.31946338;3.63995917;7.536356757;2006.823466
Jun-20;1.19782592;228.4466234;248.5151484;292.5060707;46.25200947;148.3665615;96.55920792;172.7303915;2.8839557;1.00583867;184.9987077;34.40170502;251.7408498;52.07780038;577.8338172;1.44075508;6.59014772;193.9343572;12.17894392;118.1710545;98.45032423;7.532079;27.25130075;8.72107665;5.48842405;87.85574532;2907.130722
Jul-20;3.30668079;344.1681937;189.7919759;301.0552181;49.10816968;104.6011292;194.5054608;170.5098163;6.16671257;0.75251474;312.3491733;87.52137527;280.8032743;51.98887526;761.4200222;0.99764826;8.50250453;349.5096885;14.32110771;195.9063072;113.7725138;10.26603772;26.97292558;7.64861063;2.5997892;112.2139972;3700.759722
Ago-20;6.55847085;417.6324956;27.5860024;294.1693332;61.07929158;187.0246611;227.2184585;48.92514855;0.78192124;1.72250982;319.8166246;112.9084993;353.664923;57.94650698;909.1453749;1.14772246;5.94493919;100.8289955;36.78091934;186.9677484;164.5769296;12.17880229;47.08625082;6.08593783;5.12259687;64.25644638;3657.15751
Set-20;6.75661975;389.9892586;289.8360567;415.214738;73.1357512;209.1405447;263.2948615;234.898119;0.77836289;1.19998643;344.2064671;89.03893442;350.9784032;69.52048952;845.80233;0.83288301;6.3619233;186.2477493;30.73957523;211.0539491;167.7009954;13.03393553;62.55149251;4.8282312;4.323702881;59.54961924;4331.01498
Oct-20;9.841830062;433.4999379;280.5884253;417.9531045;105.0298142;187.033434;218.2298561;273.76303;3.03997445;1.26578352;373.3995308;108.7142952;383.4116906;104.7515232;869.4704563;0.91460566;7.67229797;229.951359;30.92095432;277.7442089;185.9642984;11.44522999;63.29151873;7.25450683;8.730514141;81.79969403;4675.681874
